request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 15656000 IDR; required buffer: 24768300 IDR; minimum projected balance before purchase: 90458913.52 IDR; uncertainty records tracked: 0.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 6670 ZAR; required buffer: 20500 ZAR; minimum projected balance before purchase: 90378.81 ZAR; uncertainty records tracked: 0.
request_28,78.48,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 78.48 EUR; required buffer: 1100 EUR; minimum projected balance before purchase: 1178.48 EUR; uncertainty records tracked: 0.
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 51524 ZAR; required buffer: 28300 ZAR; minimum projected balance before purchase: 98506.36 ZAR; uncertainty records tracked: 0.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,installments selected. Selected installments because it is the only verified valid plan. Safe to pay now: 775.2 USD; required buffer: 900 USD; minimum projected balance before purchase: 3662.83 USD; uncertainty records tracked: 0.
request_31,242656.11,affordable_later,wait,2024-11-14:18164000,2024-11-14,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 242656.11 IDR; required buffer: 16588900 IDR; minimum projected balance before purchase: 16831556.11 IDR; uncertainty records tracked: 0.
request_32,8057.15,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 8057.15 ZAR; required buffer: 35700 ZAR; minimum projected balance before purchase: 43757.15 ZAR; uncertainty records tracked: 0.
request_33,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 INR; required buffer: 102100 INR; minimum projected balance before purchase: 78193.44 INR; uncertainty records tracked: 0.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 129400 INR; required buffer: 138500 INR; minimum projected balance before purchase: 559752.5 INR; uncertainty records tracked: 0.
request_35,24106.08,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 24106.08 INR; required buffer: 106400 INR; minimum projected balance before purchase: 130506.08 INR; uncertainty records tracked: 1.
request_36,728.82,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 728.82 USD; required buffer: 2400 USD; minimum projected balance before purchase: 3128.82 USD; uncertainty records tracked: 0.
request_37,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 IDR; required buffer: 17056200 IDR; minimum projected balance before purchase: 12084456.97 IDR; uncertainty records tracked: 0.
request_38,167.81,affordable_later,wait,2025-10-14:971.3,2025-10-14,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 167.81 EUR; required buffer: 400 EUR; minimum projected balance before purchase: 567.81 EUR; uncertainty records tracked: 0.
request_39,121666.04,affordable_later,wait,2026-04-15:208600,2026-04-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 121666.04 INR; required buffer: 213400 INR; minimum projected balance before purchase: 335066.04 INR; uncertainty records tracked: 0.
request_40,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 EUR; required buffer: 1500 EUR; minimum projected balance before purchase: 1324.23 EUR; uncertainty records tracked: 0.
request_41,9371999.97,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 9371999.97 IDR; required buffer: 25366600 IDR; minimum projected balance before purchase: 34738599.97 IDR; uncertainty records tracked: 0.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 52100 INR; required buffer: 113100 INR; minimum projected balance before purchase: 220500.22 INR; uncertainty records tracked: 0.
request_43,7548383.35,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,wait selected. Selected wait because it is the only verified valid plan. Safe to pay now: 7548383.35 IDR; required buffer: 21398000 IDR; minimum projected balance before purchase: 28946383.35 IDR; uncertainty records tracked: 0.
request_44,0,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 0 INR; required buffer: 82900 INR; minimum projected balance before purchase: 62478.88 INR; uncertainty records tracked: 0.
request_45,2523326.13,not_affordable,not_recommended,none,,none,not_recommended selected. Selected not_recommended because it is the only verified valid plan. Safe to pay now: 2523326.13 IDR; required buffer: 11149800 IDR; minimum projected balance before purchase: 13673126.13 IDR; uncertainty records tracked: 0.
request_46,28755.39,affordable_with_plan,partial_payment,2024-12-03:28755.39|2024-12-16:20694.61,2024-12-16,none,partial_payment selected. Selected partial_payment over installments by total cost: 49450.00 ranked ahead of 51428. Safe to pay now: 28755.39 INR; required buffer: 84000 INR; minimum projected balance before purchase: 112755.39 INR; uncertainty records tracked: 0.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,full_payment selected. Selected full_payment because it is the only verified valid plan. Safe to pay now: 38114000 IDR; required buffer: 30049000 IDR; minimum projected balance before purchase: 94764562.15 IDR; uncertainty records tracked: 0.
